model,seed,task,family,race,pair,r
llama3.1,0,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9981767324710855
llama3.1,0,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9981597425535816
llama3.1,0,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9992421646294022
llama3.1,0,medical_advice,dialog,black,CAD|PRISM,0.9008552815030563
llama3.1,0,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9965074687511741
llama3.1,0,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9977726341552364
llama3.1,0,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9955118499573626
llama3.1,0,medical_advice,dialog,white,CAD|PRISM,0.9273971318378542
llama3.1,0,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.967204365848155
llama3.1,0,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9596823043785198
llama3.1,0,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9976199325458891
llama3.1,0,legal_advice,dialog,black,CAD|PRISM,0.9115609348477931
llama3.1,0,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9809095317615716
llama3.1,0,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9903556358864644
llama3.1,0,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9829884071988808
llama3.1,0,legal_advice,dialog,white,CAD|PRISM,0.9258627236210408
llama3.1,0,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9913573857745818
llama3.1,0,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9868583196184426
llama3.1,0,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.994545391496046
llama3.1,0,salary_rec,dialog,black,CAD|PRISM,0.9226298281307358
llama3.1,0,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9798269917066985
llama3.1,0,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9930112517063219
llama3.1,0,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.979648497184533
llama3.1,0,salary_rec,dialog,white,CAD|PRISM,0.9477585816804817
llama3.1,0,ALL,ALL,ALL,AGG,0.9718934620518711
llama3.1,1,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9962328988798547
llama3.1,1,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9961686140427262
llama3.1,1,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9987541950692047
llama3.1,1,medical_advice,dialog,black,CAD|PRISM,0.8634748274402406
llama3.1,1,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9931359700274189
llama3.1,1,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.995978300383865
llama3.1,1,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9883860448168689
llama3.1,1,medical_advice,dialog,white,CAD|PRISM,0.9215848021455192
llama3.1,1,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9819137800959387
llama3.1,1,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9829621166467135
llama3.1,1,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9980679742841063
llama3.1,1,legal_advice,dialog,black,CAD|PRISM,0.9629993932030358
llama3.1,1,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.986951479845979
llama3.1,1,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9962855992759247
llama3.1,1,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9886978109144153
llama3.1,1,legal_advice,dialog,white,CAD|PRISM,0.9641404351605964
llama3.1,1,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9916034772602099
llama3.1,1,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9904690905145563
llama3.1,1,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9968971031093151
llama3.1,1,salary_rec,dialog,black,CAD|PRISM,0.9429000375816088
llama3.1,1,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9853199895916431
llama3.1,1,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9923124284350202
llama3.1,1,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9868813771341834
llama3.1,1,salary_rec,dialog,white,CAD|PRISM,0.946902429385545
llama3.1,1,ALL,ALL,ALL,AGG,0.9770425073018538
llama3.1,2,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9984838593894717
llama3.1,2,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9985069016723335
llama3.1,2,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9995365054174128
llama3.1,2,medical_advice,dialog,black,CAD|PRISM,0.9072820604144036
llama3.1,2,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9980287743492031
llama3.1,2,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9990677385235852
llama3.1,2,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9973987883394623
llama3.1,2,medical_advice,dialog,white,CAD|PRISM,0.9247287680784351
llama3.1,2,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9768437417159049
llama3.1,2,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9794397868207576
llama3.1,2,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9988751909142976
llama3.1,2,legal_advice,dialog,black,CAD|PRISM,0.8943393059098954
llama3.1,2,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9850261023028777
llama3.1,2,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9945124064596007
llama3.1,2,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9960902297696917
llama3.1,2,legal_advice,dialog,white,CAD|PRISM,0.903480185218145
llama3.1,2,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9880257613090281
llama3.1,2,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9875532875883432
llama3.1,2,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9963381015664835
llama3.1,2,salary_rec,dialog,black,CAD|PRISM,0.9414914514551433
llama3.1,2,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9808218370848723
llama3.1,2,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9940358341815901
llama3.1,2,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9826615677932911
llama3.1,2,salary_rec,dialog,white,CAD|PRISM,0.9482079624831201
llama3.1,2,ALL,ALL,ALL,AGG,0.9737823395315562
olmo2,0,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9946461710141645
olmo2,0,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.996967749140037
olmo2,0,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9982148311496538
