task,condition,run_to_run_sd,mean_outcome,n_prompts
legal_advice,aave,0.08575525825830575,0.27133333333333337,150
legal_advice,cad,0.07594340852370882,0.38266666666666665,150
legal_advice,explicit,0.0915205881204088,0.30266666666666664,150
legal_advice,hayeselder,0.08220744144690242,0.28933333333333333,150
legal_advice,nocue,0.06297877813350133,0.31866666666666665,150
legal_advice,prism,0.09815349580710962,0.3293333333333333,150
legal_advice,rosenman,0.08652898491030492,0.296,150
legal_advice,tzioumis,0.06632907686700827,0.35866666666666663,150
medical_advice,aave,0.018558603566699704,0.8879999999999999,150
medical_advice,cad,0.013265815373401652,0.9053333333333334,150
medical_advice,explicit,0.033164538433504136,0.8053333333333333,150
medical_advice,hayeselder,0.046430353806905786,0.8533333333333334,150
medical_advice,nocue,0.04874171803020412,0.7213333333333334,150
medical_advice,prism,0.013265815373401654,0.9226666666666667,150
medical_advice,rosenman,0.028842994970101638,0.844,150
medical_advice,tzioumis,0.03748608189690663,0.8106666666666666,150
salary_rec,aave,3967.7949640031034,81718.66666666667,150
salary_rec,cad,3143.402300747295,84474.66666666667,150
salary_rec,explicit,4464.863140875433,93604.0,150
salary_rec,hayeselder,3942.1452831905917,87309.33333333333,150
salary_rec,nocue,3702.455444859923,84158.66666666667,150
salary_rec,prism,3599.09354377952,86452.0,150
salary_rec,rosenman,4224.641801047125,90432.0,150
salary_rec,tzioumis,4076.7379906568644,87905.33333333333,150
